Opened,Venue,City,Capacity
1-Sep-36,American Legion Memorial Stadium,Charlotte,"16,000"
1955,Bojangles' Coliseum,Charlotte,"9,605"
1955,Ovens Auditorium,Charlotte,"2,460"
4-Jul-91,PNC Music Pavilion,Charlotte,"19,500"
Unknown,Charlotte Metro Credit Union Amphitheatre,Charlotte,"5,000"
14-Sep-96,Bank of America Stadium,Charlotte,"74,455"
21-Oct-05,Spectrum Center,Charlotte,"13,376–18,249 (Theater: 4,000–9,500)"
20-Nov-08,Durham Performing Arts Center,Durham,"2,712"
12-Jun-95,Crown Coliseum,Fayetteville,"13,500"
1958,Odeon Theatre,Greensboro,300
29-Oct-59,Greensboro Coliseum,Greensboro,"23,500"
Mar-11,The Terrace,Greensboro,800
5-Jun-11,White Oak Amphitheatre,Greensboro,788
14-Dec-66,Carter–Finley Stadium,Raleigh,"57,583"
4-Jul-91,Coastal Credit Union Music Park,Raleigh,"20,500 (6,847 seated; 13,653 lawn)"
29-Oct-99,PNC Arena,Raleigh,"19,350"
4-Jun-10,Red Hat Amphitheater,Raleigh,"5,500 (1,800 fixed seats; 2,700 movable seats; lawn space for 1,000)"
14-Sep-68,BB&T Field,Winston-Salem,"31,500"
19-Aug-89,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,"14,407"
North Dakota,North Dakota,North Dakota,North Dakota
10-Feb-01,Alerus Center,Grand Forks,"21,000 (Theater: 4,600–11,000)"
5-Oct-01,Ralph Engelstad Arena,Grand Forks,"13,154"
12-Dec-92,Fargodome,Fargo,"22,000 (Center-stage: 26,700; Theater: 11,000)"
Oklahoma,Oklahoma,Oklahoma,Oklahoma
2008,SpiritBank Event Center,Bixby,"4,500"
,Choctaw Grand Theater,Durant,"3,000"
,Global Event Center,Thackerville,"3,500"
30-Aug-08,BOK Center,Tulsa,"19,199"
1964,Cox Business Center,Tulsa,"9,768"
8-Apr-10,ONEOK Field,Tulsa,"9,100"
1924,Cain's Ballroom,Tulsa,"1,800"
22-Oct-14,Brady Theater,Tulsa,"2,800"
19-Mar-77,Tulsa Performing Arts Center,Tulsa,"Chapman Music Hall: 2,365 John H. Williams Theatre: 437 Liddy Doenges Theatre: 300 Charles E. Norman Theatre: 200"
8-Jun-02,Chesapeake Energy Arena,Oklahoma City,"19,000"
1965,Jim Norick Arena,Oklahoma City,"10,944"
1937,Tower Theater,Oklahoma City,
1936,Zoo Amphitheatre,Oklahoma City,"8,500"
27-Oct-75,Lloyd Noble Center,Norman,"11,562"
13-Jan-28,McCasland Field House,Norman,"5,000"
Ohio,Ohio,Ohio,Ohio
1981,Blossom Music Center,Cuyahoga Falls,"20,000  (5,700 on pavilion; 13,500 on lawn seating)"
9-Sep-75,U.S. Bank Arena,Cincinnati,"17,556"
4-Jul-84,Riverbend Music Center,Cincinnati,"20,500"
24-May-08,PNC Pavilion,Cincinnati,"4,100"
31-Mar-03,Great American Ball Park,Cincinnati,"42,319"
3-Nov-98,Value City Arena,Columbus,"20,000"
9-Sep-00,Nationwide Arena,Columbus,"21,000"
26-Nov-28,Lincoln Theatre,Columbus,582
7-Oct-22,Ohio Stadium,Columbus,"104,944"
Unknown,Express Live!,Columbus,"2,200–5,000"
2004,House of Blues,Cleveland,"1,200"
1-Nov-91,Wolstein Center,Cleveland,"8,500–13,612"
17-Oct-94,Rocket Mortgage FieldHouse,Cleveland,"20,100"
12-Sep-99,FirstEnergy Stadium,Cleveland,"73,200"
1987,Jacobs Pavilion,Cleveland,"5,000"
1917,Phantasy Theater,Cleveland,Unknown
3-Oct-09,Huntington Center,Toledo,"7,286"
5-Dec-26,Stambaugh Auditorium,Youngstown,"2,554"
"December 20, 1928,",Midland Theatre,Newark,"1,800"
Oregon,Oregon,Oregon,Oregon
12-Oct-95,Moda Center,Portland,"15,100 (Theatre of the Clouds: 6,535)"
1928,Arlene Schnitzer Concert Hall,Portland,"2,776"
1982,Roseland Theater,Portland,"1,400"
2004,Wonder Ballroom,Portland,GA 778
Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania
25-Dec-28,Keswick Theatre,Glenside,"1,300"
1968,Electric Factory,Philadelphia,"2,500–3,000"
1908,Theatre of Living Arts,Philadelphia,"1,000"
3-Apr-04,Citizens Bank Park,Philadelphia,"43,650"
11-Nov-97,Liacouras Center,Philadelphia,"10,200"
1935,Mann Center for the Performing Arts,Philadelphia,"14,000"
13-Aug-96,Wells Fargo Center,Philadelphia,"21,000"
"April 20, 1895",Franklin Field,Philadelphia,"52,960"
3-Aug-03,Lincoln Financial Field,Philadelphia,"69,176"
10-Sep-14,PPL Center,Allentown,"10,500"
1966,New Holland Arena,Harrisburg,"7,600"
11-Jan-96,Bryce Jordan Center,University Park,"16,000"
18-Aug-10,PPG Paints Arena,Pittsburgh,"14,536"
31-Mar-01,PNC Park,Pittsburgh,"38,360"
18-Aug-01,Heinz Field,Pittsburgh,"69,119"
27-Apr-02,Petersen Events Center,Pittsburgh,"12,508"
Dec-10,Stage AE,Pittsburgh,"2,400 indoors; 5,500 outdoors"
2014,Sands Event Center,Bethlehem,"2,250–3,500"
1979,Stabler Arena,Bethlehem,"6,200"
Sep-01,Santander Arena,Reading,"6,000-9,000"
24-Jun-00,The Pavilion,Scranton,"19,000"
Sep-03,Utz Arena,York,"5,500"
15-Oct-02,Giant Center,Hershey,"12,500"
18-May-39,Hersheypark Stadium,Hershey,"30,000"
10-Apr-31,Warner Theatre,Erie,"2,250"
17-Jun-90,KeyBank Pavilion,Burgettstown,"23,000"
Rhode Island,Rhode Island,Rhode Island,Rhode Island
3-Nov-72,Dunkin' Donuts Center,Providence,"12,780"
South Carolina,South Carolina,South Carolina,South Carolina
14-Nov-08,TD Arena,Charleston,"5,100"
21-Nov-02,Colonial Life Arena,Columbia,"19,000"
1988,Koger Center for the Arts,Columbia,"2,256"
1930,Township Auditorium,Columbia,"Standard seating: 3,072General admission: 3,383"
Jun-18,The Senate,Columbia,"1,200"
1934,Williams–Brice Stadium,Columbia,"80,250"
7-Mar-96,Bon Secours Wellness Arena,Greenville,"11,000–14,000 Center-stage: 15,951"
10-Nov-90,Peace Center,Greenville,"Peace Concert Hall: 2,112TD Stage: 1,450Gunter Theatre: 439"
Aug-96,Timmons Arena,Greenville,"6,000"
2-Mar-18,The Firmament,Greenville,825
29-Jan-93,North Charleston Coliseum,North Charleston,"8,805–12,645 (Center-stage: 13,295; Half-house: 5,970)"
1997,House of Blues,North Myrtle Beach,"2,100"
19-Sep-42,Memorial Stadium,Clemson,"81,500"
1951,Spartanburg Memorial Auditorium,Spartanburg,"Auditorium: 3,217Arena: 2,500"
South Dakota,South Dakota,South Dakota,South Dakota
21-Jun-77,Rushmore Plaza Civic Center,Rapid City,"Don Barnett Arena: 10,436Ice Arena: 5,157Fine Arts Theatre: 1,690"
19-Sep-14,Denny Sanford Premier Center,Sioux Falls,"12,500"
1961,Sioux Falls Arena,Sioux Falls,"7,500"
Tennessee,Tennessee,Tennessee,Tennessee
6-Sep-04,FedExForum,Memphis,"19,000"
16-Sep-65,Liberty Bowl Memorial Stadium,Memphis,"59,310"
Unknown,Mud Island Amphitheatre,Memphis,"5,000"
1928,Orpheum Theatre,Memphis,"2,400[25]"
1892,Ryman Auditorium,Nashville,"2,362"
16-Mar-74,Grand Ole Opry,Nashville,"4,000"
October 1922 (rebuilt and reopened in 1981),Vanderbilt Stadium,Nashville,"40,500"
18-Dec-96,Bridgestone Arena,Nashville,"19,712"
3-May-97,Nissan Stadium,Nashville,"69,143"
30-Jul-15,Ascend Amphitheater,Nashville,"6,800"
1925,War Memorial Auditorium,Nashville,"All seating: 1,661Open floor: 2,044"
Jan-03,The Cannery Ballroom,Nashville,"1,000 Mercy Lounge: 500The High Watt: 225 standing"
3-Dec-87,Thompson–Boling Arena,Knoxville,"21,678"
12-Dec-72,Monte Hale Arena,Murfreesboro,"11,500"
Texas,Texas,Texas,Texas
6-Nov-09,Allen Event Center,Allen,"8,600"
1959,Long Center for the Performing Arts,Austin,"Michael & Susan Hall: 2,442 Debra & Kevin Theatre: 229 City Terrace: 2,000"
29-Nov-77,Frank Erwin Center,Austin,"16,000 (theater: 7,820)"
1992,Emo's,Austin,"1,850"
Feb-11,Moody Theater,Austin,"2,750"
Apr-13,Austin360 Amphitheater,Austin,"14,000"
27-May-09,AT&T Stadium,Arlington,"81,000–105,000"
23-Mar-20,Globe Life Field,Arlington,"40,000"
1-Apr-94,Globe Life Park,Arlington,"48,114"
2003,Ford Park,Beaumont,"Ford Arena: 9,737Ford Pavilion: 14,000"
1927,Jefferson Theatre,Beaumont,"1,400"
1928,Julie Rogers Theater,Beaumont,"1,663"
10-Jun-08,H-E-B Center,Cedar Park,"8,700"
1967,American Bank Center,Corpus Christi,"10,000"
2001,Concrete Street Amphitheater,Corpus Christi,"Amphitheater: 10,000Indoor pavilion: 3,000"
2006,Berry Center,Cypress,"9,500"
17-Jul-01,American Airlines Center,Dallas,"21,001"
"1993; renovated March 26, 2015",The Bomb Factory,Dallas,"1,000–4,300"
Jun-71,South Side Ballroom,Dallas,"4,000"
1930,Cotton Bowl,Dallas,"92,100"
2007,House of Blues,Dallas,"1,750"
May-90,Trees,Dallas,600
—,Club Dada,Dallas,—
1946,Granada Theater,Dallas,"1,000"
1988,Dos Equis Pavilion,Dallas,"20,000"
27-Aug-18,Bert Ogden Arena,Edinburg,"7,688"
3-Feb-77,Don Haskins Center,El Paso,"12,567"
22-May-42,El Paso County Coliseum,El Paso,"7,000"
21-Sep-63,Sun Bowl Stadium,El Paso,"51,500"
30-Sep-68,Fort Worth Convention Center,Fort Worth,"11,200"
8-Nov-19,Dickies Arena,Fort Worth,"14,000"
1981,Billy Bob's,Fort Worth,"6,000"
1895,Grand 1894 Opera House,Galveston,"1,040"
Feb-02,The Theatre at Grand Prairie,Grand Prairie,"3,000–6,350"
23-Oct-03,State Farm Arena,Hidalgo,"6,800"
12-May-12,BBVA Stadium,Houston,"30,000"
2008,House of Blues,Houston,"1,500"
Feb-06,Warehouse Live,Houston,"1,500"
6-Oct-03,Toyota Center,Houston,"19,085"
30-Mar-00,Minute Maid Park,Houston,"42,060"
24-Aug-02,NRG Stadium,Houston,"71,055"
14-Feb-74,NRG Arena,Houston,"8,000"
14-Nov-97,Revention Music Center,Houston,"3,464"
Sep-17,Toyota Music Factory,Irving,"8,000 (4,000 seated, 4,000 lawn capacity)"
21-Sep-02,Laredo Energy Arena,Laredo,"11,360"
26-Mar-97,United Supermarkets Arena,Lubbock,"15,098"
2018,McAllen Performing Arts Center,McAllen,"1,800"
12-Aug-11,Wagner Noël Performing Arts Center,Midland,"1,819"
18-Oct-02,AT&T Center,San Antonio,"19,000"
15-May-93,Alamodome,San Antonio,"Arena: 30,000 (Center-stage: 33,000); Stadium: 50,000 (Center-stage: 77,000)"
4-Jun-26,Aztec Theatre,San Antonio,"1,477"
"June 14, 1929; reopened 1989",Majestic Theatre,San Antonio,"2,264"
19-Oct-49,Freeman Coliseum,San Antonio,"11,700"
14-Jan-17,Smart Financial Centre,Sugar Land,"6,500"
1924,Perot Theatre,Texarkana,"1,400"
Apr-90,Cynthia Woods Mitchell Pavilion,The Woodlands,"16,500 (6,900 seats, 9,600 lawn capacity)"
Utah,Utah,Utah,Utah
4-Oct-91,Vivint Smart Home Arena,Salt Lake City,"15,000 (Center-stage: 20,000)"
22-Mar-96,Maverik Center,West Valley City,"12,000"
2003,USANA Amphitheatre,West Valley City,"20,000"
1971,Marriott Center,Provo,"22,700–20,951"
Apr-95,Tuacahn Center,Ivins,"1,920"
Virginia,Virginia,Virginia,Virginia
2006,John Paul Jones Arena,Charlottesville,"16,000"
15-Oct-31,Scott Stadium,Charlottesville,"61,500"
4-Oct-85,EagleBank Arena,Fairfax,"10,002"
2001,Portsmouth Pavilion,Portsmouth,"6,500"
Jun-95,Jiffy Lube Live,Bristow,"25,000 (10,000 reserved seats; 15,000 on the lawn)"
1970,Hampton Coliseum,Hampton,"13,800"
12-Nov-71,Norfolk Scope,Norfolk,"13,800"
1919,Attucks Theatre,Norfolk,690
1917,The Norva,Norfolk,"1,500"
1923,National Theater,Richmond,"1,500"
21-Aug-71,Richmond Coliseum,Richmond,"13,553"
1971,Filene Center,Vienna,"7,000"
1996,Veterans United Home Loans Amphitheater,Virginia Beach,"20,000"
Washington,Washington,Washington,Washington
21-Apr-83,Tacoma Dome,Tacoma,"5,000–23,000"
1986,The Gorge Amphitheatre,George,"20,000"
2-Jan-09,ShoWare Center,Kent,"2,500–7,600"
28-Jul-02,CenturyLink Field,Seattle,"72,352"
15-Jul-99,Safeco Field,Seattle,"47,953"
21-Apr-62,KeyArena,Seattle,"15,354"
2006,WaMu Theater,Seattle,"3,300–7,000"
1928,McCaw Hall,Seattle,"2,963"
Mar-28,Paramount Theatre,Seattle,"2,807"
Sep-98,Benaroya Hall,Seattle,"2,500"
24-Sep-26,5th Avenue Theatre,Seattle,"2,130"
2007,Showbox SoDo,Seattle,"1,500"
1907,Moore Theatre,Seattle,"1,400"
1909,Meany Hall for the Performing Arts,Seattle,"1,206"
24-Jul-39,The Showbox,Seattle,"1,150"
16-Nov-21,Neptune Theatre,Seattle,800
2000,Sky Church,Seattle,800
30-Apr-91,Crocodile Cafe,Seattle,550
Unknown,Marymoor Park,Redmond,"5,000 (600 seats; 4,400 lawn)"
27-Sep-03,Angel of the Winds Arena,Everett,"9,000 (Center-stage: 10,000)"
2003,Sunlight Supply Amphitheater,Ridgefield,"18,000"
12-Sep-06,Town Toyota Center,Wenatchee,"5,800"
8-Feb-71,Beasley Coliseum,Pullman,"11,671"
2013,Silver Reef Casino Event Center[26],Ferndale,"1,000"
5-Mar-93,Spokane Veterans Memorial Arena,Spokane,"12,638"
1990,Yakima SunDome,Yakima,"7,929–8,300"
Wisconsin,Wisconsin,Wisconsin,Wisconsin
2001,Miller Park,Milwaukee,"41,900"
4-Sep-18,Fiserv Forum,Milwaukee,"17,500"
1987,American Family Insurance Amphitheater,Milwaukee,"15,112"
1950,Milwaukee Panther Arena,Milwaukee,"12,700"
1909,Miller High Life Theatre,Milwaukee,"4,086"
1928,Riverside Theater,Milwaukee,"2,450"
1927,Eagles Ballroom,Milwaukee,"1,500"
1895,Pabst Theater,Milwaukee,"1,339"
17-Jan-98,Kohl Center,Madison,"17,230"
1967,Alliant Energy Center,Madison,"10,231"
1927,Orpheum Theater,Madison,"1,697"
2004,Overture Center for the Arts,Madison,"2,255"
1957,Lambeau Field,Green Bay,"80,735"
2002,Resch Center,Green Bay,"10,200"
2007,Kress Events Center,Green Bay,"4,018"
1993,Weidner Center,Green Bay,"2,021"
